text,source
"Slow, very slow Lewis... We need new video lap.",AK54B3MMIT4
🚀 ,AK54B3MMIT4
Go Lewis. Hammer time ...,AK54B3MMIT4
It was a nice ride. 🙂 ,AK54B3MMIT4
@@Mercedes-AMG oh yes,AK54B3MMIT4
Nice..<br>And F1 car??  Go Mercedes 👊👊,AK54B3MMIT4
🐒,AK54B3MMIT4
Simps in the comments LOL,AK54B3MMIT4
"Yes, you are",AK54B3MMIT4
Show the car,AK54B3MMIT4
Can you buy it without those horrible screens ? 🤮,AK54B3MMIT4
Let&#39;s hope his GP car pleases him as much,AK54B3MMIT4
"Wow, get in there GOAT ! Sincerely hope you have a great Christmas and New Year and that the guys can produce a super fast, super light, super compliant car that you can genuinely challenge for a title in. Also, I&#39;ve been into F1 for over four decades - Just a word of advise, whenever you have a certain individual behind you, who will dive bomb through anywhere that looks even remotely like a gap, please place your car in the middle,! never ever leave lots of space on either side, especially as you approach a corner, otherwise they will go for it, regardless, no matter how late, or unrealistic, they will force you off, they dont care, and you know who I mean 😉 you are super clean, they are overly aggressive and would rather a coming to, than see you stay ahead so be mindful GOAT (F1/FIA have shown they wont reign certain folk in, when they should have.) 🙏💪🔥",AK54B3MMIT4
Kauft euch lieber mal ein ordentliches Auto,AK54B3MMIT4
Am so thick. Didnt realise am the copilot,AK54B3MMIT4
Thank you :),AK54B3MMIT4
What a pleasure. This was cool.,AK54B3MMIT4
how stupid people doing this in times of climate crisis,AK54B3MMIT4
Why does the drivers speedometer screen look so weird?,AK54B3MMIT4
"Because it&#39;s a sim, dummy. Seriously, I can&#39;t believe the comments on here... do you people really believe that was an actual car on an actual track?",AK54B3MMIT4
WHY WOULD YOU PUT MUSIC OVER THAT BEAUTIFUL SOUND 😭😭😭😭😭😭😭😭,AK54B3MMIT4
"Lewis, I must take you for a drive some time. I think you&#39;d be surprised .....   possibly not in a good way!🤣🤣",AK54B3MMIT4
1000 th like from me. Good job,AK54B3MMIT4
Everyone else would be quiet and concentrating so hard. And slow comparatively.<br><br>This isn&#39;t even raising Lewis&#39;s heartrate! 😂😂,AK54B3MMIT4
Better than the w14,AK54B3MMIT4
"I wonder what Max is doing in the new Red Bull car? Oh wait, they are a drinks company. I forgot.",AK54B3MMIT4
“Woohoo”😭😭,AK54B3MMIT4
Pure AMG Perfection,AK54B3MMIT4
Nice tape.,AK54B3MMIT4
I&#39;d like to see lewis do races outside of F1. Like enduros and such. don&#39;t think he has any serious interest through :(,AK54B3MMIT4
Why don&#39;t you just have a normal video,AK54B3MMIT4
Can you imagine how slow that thing must be for him,AK54B3MMIT4
"yes, and no.  for what it is, it will feel fast, on the edge.  i always say you could hand two milk trucks to race car drivers and they would make an exciting race of it.  ps. I have this car and engine and would love to be as smooth as Lewis.",AK54B3MMIT4
"What an smooth operator! I&#39;m big fan of his driving style. Zero corrections, just perfection &lt;3",AK54B3MMIT4
"I love beeing a passenger buuut but with Sir LH driving...are You crazy? This is the Best thing ever, omg 🫶🏻🐐",AK54B3MMIT4
GO ON LEWIS!,AK54B3MMIT4
I love how Lewis is so chill while he&#39;s making the car absolutely fly around the circuit.,AK54B3MMIT4
that’s because he’s actually bored haha,AK54B3MMIT4
The coolest man God made. ❤,AK54B3MMIT4
enjoying everything 😍,AK54B3MMIT4
This is an absolute honor. Thanks! 🙌🏼🖤,AK54B3MMIT4
Ham....&quot;Woohoooo&quot;,AK54B3MMIT4
Well done Lewis 💯🔥👏 I love the AMG Sound 🫶🤜🤛,AK54B3MMIT4
What a cool video !,AK54B3MMIT4
Lewis you&#39;re an amazing driver. Thanks for showing us what this fantastic machine can do on track. This is a brilliant bit of kit.,AK54B3MMIT4
This view is sick.,AK54B3MMIT4
More please,AK54B3MMIT4
That was the shit!,AK54B3MMIT4
"A pro indeed , never get carried away with all those power at his disposal.",AK54B3MMIT4
Gut,AK54B3MMIT4
wooohooooo,AK54B3MMIT4
Proud of to be near to a 8-times champion and my F1 idol !,AK54B3MMIT4
"Yeah I concur 8.time champion, for we all know Verstappen &#39;s first title was daylight ROBBERY",AK54B3MMIT4
"@@BasilBell-g7l So was Lewis&#39;s first, he was the champ because another driver made a mistake in the last corner of the race.",AK54B3MMIT4
"it was great, thanks for the drive",AK54B3MMIT4
Outstanding automobile.   Mercedes and AMG produce some of the finest vehicles in the world.  And Sir Lewis Hamilton is one of the greatest drivers EVER. A true professional and a fantastic human being.,AK54B3MMIT4
U sexy man!!!!  Love U❤😂🎉,AK54B3MMIT4
Amazing how smooth the maestro is. He makes it look so easy.,AK54B3MMIT4
the real maestro is max 😎,AK54B3MMIT4
​@@samiryouarebreakingthecar Take a seat chump. Most winning driver of all time is at the healm,AK54B3MMIT4
@@samiryouarebreakingthecaryou mean max masi 😅,AK54B3MMIT4
AMG’s are my life and the GT is my next one.,AK54B3MMIT4
👍 Very Nice 👍,AK54B3MMIT4
"at first when the background music was playing with that &quot;ticking&quot; sound, I thought Lewis was using the indicators xD",AK54B3MMIT4
GOOD JOB MAN🤪🤪😎👊,AK54B3MMIT4
Yes Sir 🫡,AK54B3MMIT4
Please film Lewis driving it next time.,AK54B3MMIT4
"They have - it&#39;s 360, you need to move the view around.",AK54B3MMIT4
Is it a cool down lap?😂,AK54B3MMIT4
❤❤❤,AK54B3MMIT4
the 360 view is nuts!,AK54B3MMIT4
Amazing experience being a virtual passenger 👏🏻 thanks Lewis!!,AK54B3MMIT4
360 cam is dope,AK54B3MMIT4
Epic exhaust sound 🔥,AK54B3MMIT4
LH44 lets go,AK54B3MMIT4
"Great driver, great car...:)",AK54B3MMIT4
AWESOME!!! Go LEWIS,AK54B3MMIT4
Nice sound as ever!!👍👌,AK54B3MMIT4
Mercedes is the best ❤,AK54B3MMIT4
